-7 -4 0
-7 -3 1
-7 -2 1
-7 -1 1
-7 0 1
-7 1 1
-7 2 1
-7 3 1
-7 4 1
-7 5 1
-7 6 1
-7 7 0
-6 -4 0
-6 -3 1
-6 -2 1
-6 -1 1
-6 0 1
-6 1 1
-6 2 1
-6 3 1
-6 4 1
-6 5 1
-6 6 1
-6 7 1
-6 8 0
-5 -4 0
-5 -3 1
-5 -2 1
-5 -1 1
-5 0 1
-5 1 1
-5 2 1
-5 3 1
-5 4 1
-5 5 1
-5 6 1
-5 7 1
-5 8 0
-4 3 0
-4 4 1
-4 5 2
-4 6 2
-4 7 1
-4 8 0
-3 3 0
-3 4 1
-3 5 2
-3 6 2
-3 7 1
-3 8 0
-2 3 4
-2 4 1
-2 5 2
-2 6 2
-2 7 1
-2 8 0
-1 3 0
-1 4 1
-1 5 2
-1 6 2
-1 7 1
-1 8 0
0 3 0
0 4 1
0 5 2
0 6 2
0 7 1
0 8 0
1 3 0
1 4 1
1 5 2
1 6 2
1 7 1
1 8 0
2 3 0
2 4 1
2 5 2
2 6 2
2 7 1
2 8 0
3 1 0
3 2 1
3 3 1
3 4 2
3 5 2
3 6 2
3 7 1
3 8 0
4 1 0
4 2 1
4 3 2
4 4 2
4 5 2
4 6 2
4 7 1
4 8 0
5 1 0
5 3 0
5 4 2
5 5 2
5 6 2
5 7 1
5 8 0
6 -7 0
6 -6 1
6 3 0
6 4 1
6 5 2
6 6 2
6 7 1
6 8 0
7 -9 0
7 -8 1
7 -7 1
7 -6 1
7 -5 2
7 3 0
7 4 1
7 5 2
7 6 2
7 7 1
7 8 0
8 -9 0
8 -8 1
8 -7 2
8 -6 1
8 -5 2
8 -4 2
8 3 0
8 4 1
8 5 2
8 6 2
8 7 1
8 8 0
9 -9 0
9 -8 1
9 -7 2
9 -6 2
9 -5 2
9 -4 2
9 3 3
9 4 1
9 5 2
9 6 2
9 7 1
9 8 0
10 -9 0
10 -8 1
10 -7 2
10 -6 2
10 -5 2
10 -4 2
10 0 0
10 3 0
10 4 1
10 5 2
10 6 2
10 7 1
10 8 0
11 -9 0
11 -8 1
11 -7 2
11 -6 2
11 -5 2
11 -4 2
11 0 0
11 3 0
11 4 2
11 5 2
11 6 2
11 7 1
11 8 0
12 -8 0
12 -7 1
12 -6 2
12 -5 2
12 -4 2
12 0 0
12 3 0
12 4 2
12 5 2
12 6 2
12 7 1
12 8 1
13 -7 3
13 -6 1
13 -5 2
13 -4 2
13 0 0
13 1 1
13 2 1
13 3 2
13 4 2
13 5 2
13 6 2
13 7 2
13 8 1
14 -7 3
14 -6 1
14 -5 2
14 -4 2
14 0 0
14 1 1
14 2 1
14 3 1
14 4 1
14 5 2
14 6 2
14 7 2
14 8 1
15 -6 0
15 -5 1
15 -4 2
15 3 0
15 4 1
15 5 1
15 6 2
15 7 2
15 8 1
15 9 0
16 3 0
16 4 1
16 5 1
16 6 2
16 7 2
16 8 1
16 9 1
16 10 0
17 3 0
17 4 1
17 5 1
17 6 2
17 7 2
17 8 2
17 9 1
17 10 0
18 3 0
18 4 1
18 5 1
18 6 1
18 7 2
18 8 2
18 9 1
18 10 0
19 -4 0
19 -3 1
19 -2 1
19 -1 1
19 3 0
19 4 1
19 5 1
19 6 1
19 7 2
19 8 2
19 9 1
19 10 0
20 -16 0
20 -15 1
20 -14 2
20 -13 2
20 -5 0
20 -4 1
20 -3 2
20 -2 2
20 -1 2
20 0 2
20 1 2
20 3 0
20 4 1
20 5 1
20 6 1
20 7 2
20 8 2
20 9 1
20 10 1
20 11 1
20 12 0
21 -16 3
21 -15 1
21 -14 1
21 -13 2
21 -12 2
21 -11 0
21 -5 0
21 -4 1
21 -3 2
21 -2 2
21 -1 0
21 3 0
21 4 1
21 5 1
21 6 1
21 7 2
21 8 2
21 9 2
21 10 1
21 11 1
21 12 0
22 -17 0
22 -16 1
22 -15 1
22 -14 2
22 -13 2
22 -12 2
22 -11 2
22 -10 0
22 -5 0
22 -4 1
22 -3 1
22 -2 2
22 -1 0
22 3 0
22 4 1
22 5 1
22 6 1
22 7 2
22 8 2
22 9 2
22 10 1
22 11 1
22 12 0
23 -18 0
23 -17 1
23 -16 1
23 -15 1
23 -14 2
23 -13 2
23 -12 1
23 -11 2
23 -10 2
23 -9 2
23 -5 0
23 -4 1
23 -3 1
23 -2 2
23 -1 0
23 2 0
23 3 1
23 4 1
23 5 1
23 6 1
23 7 2
23 8 2
23 9 2
23 10 1
23 11 1
23 12 0
24 -19 3
24 -18 1
24 -17 1
24 -16 2
24 -15 2
24 -14 2
24 -13 0
24 -12 3
24 -11 1
24 -10 2
24 -9 2
24 -8 2
24 -6 0
24 -5 0
24 -4 1
24 -3 1
24 -2 2
24 2 0
24 3 1
24 4 1
24 5 2
24 6 2
24 7 2
24 8 2
24 9 2
24 10 1
24 11 1
24 12 0
25 -19 0
25 -18 1
25 -17 1
25 -16 2
25 -14 0
25 -12 0
25 -11 1
25 -10 1
25 -9 2
25 -8 2
25 -5 0
25 -4 1
25 -3 1
25 -2 2
25 2 0
25 3 1
25 4 1
25 5 2
25 6 2
25 7 2
25 8 2
25 9 2
25 10 1
25 11 1
25 12 0
26 -19 3
26 -18 1
26 -17 1
26 -16 2
26 -14 0
26 -11 0
26 -10 1
26 -9 1
26 -8 2
26 -5 0
26 -4 1
26 -3 1
26 -2 2
26 1 0
26 2 1
26 3 1
26 4 1
26 5 2
26 6 2
26 7 2
26 8 2
26 9 2
26 10 1
26 11 1
26 12 0
27 -18 0
27 -17 1
27 -16 2
27 -14 0
27 -10 0
27 -9 1
27 -8 1
27 -5 3
27 -4 1
27 -3 1
27 -2 2
27 1 0
27 2 1
27 3 1
27 4 1
27 5 1
27 6 2
27 7 2
27 8 2
27 9 2
27 10 1
27 11 1
27 12 0
28 -17 0
28 -15 0
28 -14 1
28 -12 0
28 -8 0
28 -5 0
28 -4 1
28 -3 2
28 -2 2
28 1 0
28 2 1
28 3 1
28 4 1
28 5 1
28 6 2
28 7 2
28 8 2
28 9 2
28 10 1
28 11 1
28 12 0
29 -16 0
29 -15 1
29 -14 1
29 -13 3
29 -12 2
29 -8 0
29 -5 3
29 -4 1
29 -3 2
29 -2 2
29 -1 0
29 3 0
29 4 1
29 5 1
29 6 2
29 7 2
29 8 2
29 9 2
29 10 1
29 11 1
29 12 0
30 -13 0
30 -12 1
30 -11 2
30 -10 0
30 -8 0
30 -5 0
30 -4 1
30 -3 2
30 -2 2
30 -1 2
30 0 0
30 3 0
30 4 1
30 5 1
30 6 2
30 7 2
30 8 2
30 9 2
30 10 1
30 11 1
30 12 0
31 -13 3
31 -12 1
31 -11 2
31 -10 0
31 -5 3
31 -4 1
31 -3 2
31 -2 2
31 -1 2
31 0 2
31 1 0
31 3 0
31 4 1
31 5 1
31 6 2
31 7 2
31 8 2
31 9 1
31 10 1
31 11 1
31 12 0
32 -13 0
32 -12 1
32 -11 2
32 -10 0
32 -4 0
32 -3 1
32 -2 2
32 -1 2
32 0 2
32 1 0
32 3 3
32 4 1
32 5 1
32 6 2
32 7 2
32 8 2
32 9 1
32 10 1
32 11 1
32 12 0
33 -14 0
33 -12 0
33 -8 0
33 -7 1
33 -6 0
33 -4 0
33 -3 1
33 -2 1
33 -1 2
33 0 2
33 1 0
33 3 0
33 4 1
33 5 1
33 6 1
33 7 2
33 8 2
33 9 1
33 10 1
33 11 1
33 12 0
34 -14 0
34 -12 0
34 -8 0
34 -7 1
34 -5 0
34 -4 0
34 -2 1
34 -1 1
34 0 2
34 1 0
34 3 0
34 4 1
34 5 1
34 6 1
34 7 2
34 8 2
34 9 1
34 10 1
34 11 1
34 12 0
35 -14 0
35 -13 2
35 -12 0
35 -8 0
35 -7 1
35 -6 1
35 -2 3
35 -1 1
35 0 2
35 1 0
35 3 0
35 4 1
35 5 1
35 6 1
35 7 2
35 8 2
35 9 1
35 10 1
35 11 1
35 12 0
36 -14 3
36 -13 1
36 -12 2
36 -9 0
36 -8 0
36 -7 1
36 -6 1
36 -5 2
36 -4 0
36 -2 0
36 -1 1
36 0 2
36 3 0
36 4 1
36 5 1
36 6 1
36 7 2
36 8 2
36 9 1
36 10 1
36 11 0
37 -14 0
37 -13 1
37 -12 2
37 -10 0
37 -9 1
37 -8 1
37 -7 1
37 -6 2
37 -5 2
37 -4 0
37 -1 0
37 0 2
37 3 0
37 4 1
37 5 1
37 6 1
37 7 2
37 8 2
37 9 1
37 10 1
37 11 0
38 -14 3
38 -13 1
38 -10 0
38 -9 1
38 -8 1
38 -7 1
38 -6 2
38 -5 2
38 -4 2
38 -3 0
38 3 0
38 4 1
38 5 1
38 6 1
38 7 2
38 8 2
38 9 1
38 10 1
38 11 0
39 -13 0
39 -10 0
39 -9 1
39 -8 1
39 -7 2
39 -6 2
39 -5 2
39 -4 2
39 -3 0
39 3 0
39 4 1
39 5 1
39 6 1
39 7 2
39 8 2
39 9 1
39 10 1
39 11 0
40 -15 0
40 -10 0
40 -9 1
40 -8 1
40 -7 2
40 -6 2
40 -5 2
40 -4 2
40 -3 0
40 3 0
40 4 1
40 5 1
40 6 1
40 7 2
40 8 2
40 9 1
40 10 1
40 11 0
41 -13 0
41 -12 1
41 -11 1
41 -10 1
41 -9 1
41 -8 2
41 -7 2
41 -6 2
41 -5 2
41 -4 0
41 3 0
41 4 1
41 5 1
41 6 1
41 7 2
41 8 2
41 9 1
41 10 1
41 11 0
42 -15 0
42 -14 1
42 -13 0
42 -12 1
42 -11 1
42 -10 1
42 -9 2
42 -8 2
42 -7 2
42 3 0
42 4 1
42 5 1
42 6 2
42 7 2
42 8 2
42 9 1
42 10 1
42 11 0
43 -15 0
43 -14 1
43 -13 1
43 -12 1
43 -11 1
43 -10 2
43 -9 2
43 -8 2
43 2 0
43 3 1
43 4 1
43 5 1
43 6 2
43 7 2
43 8 1
43 9 1
43 10 0
44 2 0
44 3 1
44 4 1
44 5 1
44 6 2
44 7 2
44 8 1
44 9 1
44 10 0
45 1 0
45 2 1
45 3 1
45 4 1
45 5 2
45 6 2
45 7 2
45 8 1
45 9 1
45 10 0
46 -4 0
46 -3 1
46 -2 1
46 -1 0
46 0 1
46 1 1
46 2 1
46 3 1
46 4 1
46 5 2
46 6 2
46 7 2
46 8 1
46 9 1
46 10 0
47 -6 0
47 -5 2
47 -4 0
47 -3 1
47 -2 1
47 -1 1
47 0 1
47 1 1
47 2 1
47 3 1
47 4 2
47 5 2
47 6 2
47 7 2
47 8 0
47 9 1
47 10 0
48 -6 0
48 -5 2
48 -4 2
48 -3 1
48 -2 1
48 -1 1
48 0 1
48 1 1
48 2 1
48 3 1
48 4 2
48 5 2
48 6 2
48 7 0
49 -6 0
49 -5 2
49 -4 2
49 -3 0
49 -2 1
49 -1 1
49 0 1
49 1 1
49 2 1
49 3 2
49 4 2
49 5 2
49 6 2
49 7 0
50 -6 0
50 -5 2
50 -4 2
50 -3 2
50 -2 1
50 -1 1
50 0 1
50 1 1
50 2 1
50 3 2
50 4 2
50 5 2
50 6 1
50 7 0
51 -6 0
51 -5 2
51 -4 2
51 -3 2
51 -1 0
51 0 1
51 1 1
51 2 2
51 3 2
51 4 2
51 5 0
51 6 1
51 7 0
52 -6 0
52 -5 2
52 -4 2
52 -3 2
52 0 0
52 1 1
52 2 2
52 3 2
52 4 1
52 5 0
53 -6 0
53 -5 2
53 -4 2
53 -3 2
53 -2 2
53 -1 2
53 0 2
53 1 2
53 2 2
53 3 2
53 4 1
53 5 0
54 -6 0
54 -5 2
54 -4 2
54 -3 2
54 -2 2
54 -1 2
54 0 2
54 1 2
54 2 2
54 3 1
54 4 1
54 5 0
55 -5 0
55 -4 2
55 -3 2
55 -2 2
55 -1 2
55 0 2
55 3 0
55 4 1
55 5 0
